Frame,Detected,Ground_Truth,Confidence,FPS,,,,
143,0,1,,21.22623482,,,,
144,1,1,0.571765542,20.88963264,,,,
145,1,1,0.44352451,20.79682666,,,,
146,1,1,0.622874856,21.84556089,,,,
147,1,1,0.704553366,20.70555712,,,,
148,1,1,0.731798649,21.09938226,,,,
149,0,1,,23.36789793,,,,
150,1,1,0.350727975,20.65376187,,,,
151,0,1,,22.00302166,,,,
152,0,1,,21.46774697,,,,
153,0,1,,21.54294666,,,,
154,0,1,,22.78076865,,,,
155,0,1,,21.9367364,,,,
156,0,1,,22.80777387,,,,
157,1,1,0.490460455,22.3423339,,,,
158,0,1,,22.57587452,,,,
159,1,1,0.639964163,21.07764595,,,,
160,1,1,0.678707898,22.47498406,,,,
161,1,1,0.633852482,20.7123055,,,,
162,1,1,0.563318372,21.79244126,,,,
163,2,1,0.41146934,22.38012507,,,,
164,1,1,0.76714164,21.67688587,,,,
165,1,1,0.796718299,22.6831938,,,,
166,1,1,0.815785825,21.64533942,,,,
167,1,1,0.821971416,21.03051058,,,,
168,1,1,0.809311628,22.51225901,,,,
169,1,1,0.783161223,22.53717774,,,,
170,1,1,0.799084783,22.88030985,,,,
171,1,1,0.753439188,21.23698228,,,,
172,1,1,0.696403265,20.81716075,,,,
173,1,1,0.601816714,21.35157809,,,,
174,1,1,0.755970836,22.3767819,,,,
175,1,1,0.78610146,21.2218315,,,,
176,1,1,0.754509032,21.4338481,,,,
177,1,1,0.754451931,22.52604217,,,,
178,1,1,0.750650764,22.33840713,,,,
179,1,1,0.783611655,21.16272522,,,,
180,1,1,0.82590574,20.85411135,,,,
181,1,1,0.802055299,21.40551685,,,,
182,1,1,0.811515868,23.25982121,,,,
183,1,1,0.811584175,21.6508143,,,,
184,1,1,0.757005334,21.37083403,,,,
185,1,1,0.801822245,21.51962484,,,,
186,1,1,0.813035369,21.30634928,,,,
187,1,1,0.831311882,21.29661279,,,,
188,1,1,0.830931664,21.94913445,,,,
189,1,1,0.804539561,20.92256121,,,,
190,1,1,0.719361246,21.25635516,,,,
191,1,1,0.693650424,21.60319749,,,,
192,1,1,0.751811504,21.311654,,,,
193,1,1,0.797690868,21.67475751,,,,
194,1,1,0.827131689,22.36294227,,,,
195,1,1,0.82695514,21.88066148,,,,
196,1,1,0.804533601,22.03631473,,,,
197,1,1,0.758937836,22.43903274,,,,
198,1,1,0.785142601,21.27284992,,,,
199,1,1,0.803180456,20.99272265,,,,
200,1,1,0.774705291,20.80115851,,,,
201,1,1,0.757269979,21.2135668,,,,
202,1,1,0.757008255,21.39601698,,,,
203,1,1,0.707172751,20.2513809,,,,
204,1,1,0.724300385,20.62359987,,,,
205,1,1,0.815511405,20.15600792,,,,
206,1,1,0.82332617,20.51495957,,,,
207,1,1,0.806817412,20.27840415,,,,
208,1,1,0.827110529,20.6308023,,,,
209,1,1,0.82000953,20.45582856,,,,
210,1,1,0.839253008,20.73708723,,,,
211,1,1,0.824361265,20.85348925,,,,
212,1,1,0.817737997,21.76643002,,,,
213,1,1,0.788818121,22.57538847,,,,
214,1,1,0.839665711,21.39492558,,,,
215,1,1,0.837764144,22.45994024,,,,
216,1,1,0.703817964,20.84934285,,,,
217,1,1,0.556482553,22.29613328,,,,
218,1,1,0.554397106,20.43051983,,,,
219,1,1,0.718403816,21.49315897,,,,
220,1,1,0.786291778,21.08304933,,,,
221,1,1,0.75163281,22.18011444,,,,
222,1,1,0.68601197,22.05149181,,,,
223,1,1,0.602987587,22.89392269,,,,
224,1,1,0.597316921,21.44228538,,,,
225,1,1,0.6123963,21.90557366,,,,
226,1,1,0.682036996,21.90786202,,,,
227,1,1,0.699661732,21.2906671,,,,
228,0,1,,21.57319645,,,,
229,1,1,0.35811165,20.7524776,,,,
230,0,1,,22.68123121,,,,
231,0,1,,21.12829193,,,,
232,0,1,,21.1694544,,,,
233,0,1,,21.24967829,,,,
234,0,1,,22.20312748,,,,
235,0,1,,21.16956125,,,,
236,0,1,,22.57842662,,,,
237,0,1,,21.4509487,,,,
238,0,1,,23.51093622,,,,
239,0,1,,22.73089096,,,,
240,0,1,,21.69662108,,,,
241,0,1,,21.54870198,,,,
242,0,1,,21.26551576,,,,
243,0,1,,21.59474432,,,,
244,0,1,,20.69534068,,,,
245,0,1,,22.82477784,,,,
246,0,1,,22.15457427,,,,
247,0,1,,20.5784712,,,,
248,0,1,,21.93868702,,,,
249,0,1,,21.37780519,,,,
250,0,1,,20.83049753,,,,
251,0,1,,21.29791048,,,,
252,0,1,,21.34093152,,,,
253,0,1,,21.5211707,,,,
254,0,1,,21.67430949,,,,
255,0,1,,21.0469734,,,,
256,0,1,,22.21853529,,,,
257,0,1,,21.61121187,,,,
258,0,1,,21.80966544,,,,
259,0,1,,21.29185597,,,,
260,0,1,,20.51947594,,,,
261,0,1,,20.9591541,,,,
262,0,1,,21.34093152,,,,
263,0,1,,22.19173241,,,,
264,0,1,,13.3425713,,,,
265,0,1,,18.22390226,,,,
266,0,1,,21.12520587,,,,
267,0,1,,20.88110482,,,,
268,0,1,,20.97823303,,,,
269,1,1,0.263673812,21.20262865,,,,
270,0,1,,23.33487627,,,,
271,2,1,0.378180176,22.1695632,,,,
272,1,1,0.586884499,21.80932523,,,,
273,1,1,0.529828489,22.40582915,,,,
274,1,1,0.61349231,22.85674427,,,,
275,1,1,0.426375121,21.05278375,,,,
276,2,1,0.322351605,21.38979749,,,,
277,1,1,0.447554588,21.05775149,,,,
278,1,1,0.492096007,21.54593462,,,,
279,1,1,0.3876113,22.60556313,,,,
280,1,1,0.282028258,21.12946273,,,,
281,0,1,,20.850172,,,,
282,0,1,,21.11627204,,,,
283,1,1,0.316231102,21.01165226,,,,
284,1,1,0.398375571,22.87756427,,,,
285,1,1,0.479914844,21.68977696,,,,
286,1,1,0.501733184,21.12563148,,,,
287,0,1,,21.22150938,,,,
288,1,1,0.478122622,22.00002098,,,,
289,1,1,0.470969975,20.78765321,,,,
290,1,1,0.540554643,20.84975742,,,,
291,0,1,,21.18827606,,,,
292,1,1,0.345117539,20.99934413,,,,
293,1,1,0.389145523,21.31414488,,,,
294,1,1,0.375327498,21.02755844,,,,
295,1,1,0.45359844,21.91026532,,,,
296,0,1,,20.57291968,,,,
297,0,1,,21.02228883,,,,
298,0,1,,20.94366493,,,,
299,0,1,,20.52329132,,,,
300,0,1,,22.41864343,,,,
301,0,1,,21.41524385,,,,
302,0,1,,20.65844132,,,,
303,0,1,,20.86998751,,,,
304,0,1,,19.35445526,,,,
305,0,1,,20.32163414,,,,
306,0,1,,20.71046459,,,,
307,0,1,,20.77766439,,,,
308,0,1,,22.88942491,,,,
309,0,1,,21.09492531,,,,
310,0,1,,22.37403648,,,,
311,0,1,,20.99188213,,,,
312,0,1,,22.60836567,,,,
313,0,1,,21.11839846,,,,
314,0,1,,23.09994933,,,,
315,0,1,,22.43831249,,,,
316,0,1,,21.50627349,,,,
317,0,1,,21.68349765,,,,
318,0,1,,13.8390706,,,,
319,0,1,,17.46549628,,,,
320,1,1,0.256859303,20.91285943,,,,
321,0,1,,20.82139772,,,,
322,0,1,,21.5736403,,,,
323,1,1,0.25257799,21.53111364,,,,
324,1,1,0.462219238,19.30856946,,,,
325,1,1,0.637777209,20.34795686,,,,
326,1,1,0.499735504,21.32216297,,,,
327,1,1,0.561659396,21.66244364,,,,
328,0,1,,20.80064272,,,,
329,1,1,0.352856666,21.0053386,,,,
330,1,1,0.523754954,22.90017253,,,,
331,0,1,,22.8611046,,,,
332,0,1,,23.24873344,,,,
333,0,1,,21.54748425,,,,
334,0,1,,20.90420845,,,,
335,0,1,,22.53754104,,,,
336,0,1,,21.85979268,,,,
337,0,1,,22.68920637,,,,
338,0,1,,20.97193944,,,,
339,0,1,,20.84198705,,,,
340,0,1,,21.21260121,,,,
341,0,1,,21.41732155,,,,
342,0,1,,20.93080958,,,,
343,1,1,0.306248903,21.64802065,,,,
344,0,1,,20.80301557,,,,
345,0,1,,20.8580522,,,,
346,0,1,,20.75114286,,,,
347,0,1,,21.40092965,,,,
348,0,1,,21.50109189,,,,
349,0,1,,20.336611,,,,
350,0,1,,19.76031169,,,,
351,0,1,,20.5061333,,,,
